~a	 ~ a |
soole	 s o o l e |
wahkuali	 w a h k u a l i |
s~e~a	 s ~ e ~ a |
peole	 p e o l e |
dusuedo	 d u s u e d o |
bahs-uedo	 b a h s - u e d o |
sedomaha	 s e d o m a h a |
too	 t o o |
kuab-ud-uado	 k u a b - u d - u a d o |
waado	 w a a d o |
ihiali	 i h i a l i |
tii	 t i i |
kohpedi	 k o h p e d i |
~olemaha	 ~ o l e m a h a |
-um~e	 - u m ~ e |
ihieta	 i h i e t a |
niitita	 n i i t i t a |
seapale	 s e a p a l e |
saa	 s a a |
buhlikohpedi	 b u h l i k o h p e d i |
ihitotaha	 i h i t o t a h a |
keo	 k e o |
aliboodo	 a l i b o o d o |
tuhtuli	 t u h t u l i |
ihido	 i h i d o |
ihiti	 i h i t i |
~aaa	 ~ a a a |
keenoano	 k e e n o a n o |
yapiditaha	 y a p i d i t a h a |
yapidi	 y a p i d i |
siepetaha	 s i e p e t a h a |
kenoano	 k e n o a n o |
seedo	 s e e d o |
mahnonetataha	 m a h n o n e t a t a h a |
tiia	 t i i a |
nididodoamaha	 n i d i d o d o a m a h a |
tiido	 t i i d o |
bohso	 b o h s o |
n-unitaali	 n - u n i t a a l i |
k-utasiomahali	 k - u t a s i o m a h a l i |
baa	 b a a |
d-uihidi	 d - u i h i d i |
nihl~ol~etaha	 n i h l ~ o l ~ e t a h a |
duuse	 d u u s e |
ihikoadi	 i h i k o a d i |
toamaha	 t o a m a h a |
tiina	 t i i n a |
numial~e	 n u m i a l ~ e |
nii	 n i i |
tiikoadi	 t i i k o a d i |
toolemaha	 t o o l e m a h a |
~ole	 ~ o l e |
pehkas~a	 p e h k a s ~ a |
ihidona	 i h i d o n a |
waimahs~a	 w a i m a h s ~ a |
mah~a	 m a h ~ a |
doose	 d o o s e |
ihiana	 i h i a n a |
toole	 t o o l e |
seedi	 s e e d i |
-uht~apaali	 - u h t ~ a p a a l i |
neee	 n e e e |
aali	 a a l i |
nee	 n e e |
wehk-ua	 w e h k - u a |
malali	 m a l a l i |
niidi	 n i i d i |
buulebuuli	 b u u l e b u u l i |
buuli	 b u u l i |
tihidi	 t i h i d i |
taa	 t a a |
m~àli	 m ~ à l i |
suutikahsedi	 s u u t i k a h s e d i |
baabaci	 b a a b a c i |
ihiebali	 i h i e b a l i |
kohpedika	 k o h p e d i k a |
wihiata	 w i h i a t a |
boodaakuado	 b o o d a a k u a d o |
mabuatitaha	 m a b u a t i t a h a |
yudumahdihia	 y u d u m a h d i h i a |
kuano	 k u a n o |
sop-unaha	 s o p - u n a h a |
yuu	 y u u |
kuek-ukado	 k u e k - u k a d o |
buabuaa	 b u a b u a a |
tcho	 t c h o |
saata	 s a a t a |
wahalibaa	 w a h a l i b a a |
pahido	 p a h i d o |
wahk-ud-uhita	 w a h k - u d - u h i t a |
alii	 a l i i |
bahudo	 b a h u d o |
k-utakuno	 k - u t a k u n o |
~o	 ~ o |
ihikoali	 i h i k o a l i |
ihimuaye	 i h i m u a y e |
aliaboodo	 a l i a b o o d o |
p-ule	 p - u l e |
niikada	 n i i k a d a |
ehsa	 e h s a |
yud-udop-u	 y u d - u d o p - u |
no~a	 n o ~ a |
ihhikale	 i h h i k a l e |
tiidoahkaye	 t i i d o a h k a y e |
bud-utye	 b u d - u t y e |
niaye	 n i a y e |
yami	 y a m i |
~na,i	 ~ n a , i |
niakiado	 n i a k i a d o |
o	 o |
mahs~a	 m a h s ~ a |
mahwihiaye	 m a h w i h i a y e |
paali	 p a a l i |
yauduhkuye	 y a u d u h k u y e |
ihidi	 i h i d i |
keole	 k e o l e |
wehk-u	 w e h k - u |
wehk-ukeole	 w e h k - u k e o l e |
yabaikido	 y a b a i k i d o |
Luiz	 L u i z |
malipem~a	 m a l i p e m ~ a |
Duciano	 D u c i a n o |
luciano	 l u c i a n o |
yaumeditaha	 y a u m e d i t a h a |
~ok~ehnetataha	 ~ o k ~ e h n e t a t a h a |
ihiaye	 i h i a y e |
paamolimahs~a	 p a a m o l i m a h s ~ a |
alido	 a l i d o |
mal~i	 m a l ~ i |
wahp-udo	 w a h p - u d o |
ihimipetataha	 i h i m i p e t a t a h a |
yataadotaha	 y a t a a d o t a h a |
tido	 t i d o |
pamolimahs-uno	 p a m o l i m a h s - u n o |
~osa	 ~ o s a |
yauduhkuliade	 y a u d u h k u l i a d e |
maline	 m a l i n e |
pihido	 p i h i d o |
tuhtuali	 t u h t u a l i |
kuado	 k u a d o |
ihimito	 i h i m i t o |
tiale	 t i a l e |
alikido	 a l i k i d o |
em~o	 e m ~ o |
~omahali	 ~ o m a h a l i |
ihimi	 i h i m i |
tiinana	 t i i n a n a |
paamolimahsa	 p a a m o l i m a h s a |
ihikoaede	 i h i k o a e d e |
omaakamaha	 o m a a k a m a h a |
uhsua	 u h s u a |
ninimaha	 n i n i m a h a |
aa	 a a |
kaniaye	 k a n i a y e |
pamolimahsa	 p a m o l i m a h s a |
keena	 k e e n a |
biale	 b i a l e |
yuule	 y u u l e |
ooma	 o o m a |
kuati	 k u a t i |
uhsuaye	 u h s u a y e |
paam~ono	 p a a m ~ o n o |
ataakuetoho	 a t a a k u e t o h o |
ihikoaeato	 i h i k o a e a t o |
ihiyuyeta	 i h i y u y e t a |
malipeanaha	 m a l i p e a n a h a |
paamuyohoa	 p a a m u y o h o a |
niayemaha	 n i a y e m a h a |
seema	 s e e m a |
wiaye	 w i a y e |
mali	 m a l i |
ninido	 n i n i d o |
tia	 t i a |
duhui	 d u h u i |
kaduduwatedo	 k a d u d u w a t e d o |
bahsa	 b a h s a |
meholi	 m e h o l i |
ihimipe	 i h i m i p e |
m-uad-uhkataha	 m - u a d - u h k a t a h a |
bahseiti	 b a h s e i t i |
yauduhkueti	 y a u d u h k u e t i |
yedi	 y e d i |
suutide	 s u u t i d e |
tuaye	 t u a y e |
koamanap-u	 k o a m a n a p - u |
ihia	 i h i a |
nini	 n i n i |
koamahnop-u	 k o a m a h n o p - u |
tuobodoaye	 t u o b o d o a y e |
tuobodooo	 t u o b o d o o o |
saaye	 s a a y e |
saatide	 s a a t i d e |
ha-u	 h a - u |
pamulimahs-u	 p a m u l i m a h s - u |
yudubuati	 y u d u b u a t i |
kalinota	 k a l i n o t a |
peoaye	 p e o a y e |
niididotaha	 n i i d i d o t a h a |
pamulimahsa	 p a m u l i m a h s a |
wahpudoletaha	 w a h p u d o l e t a h a |
tiidole	 t i i d o l e |
kam~od-uhpo	 k a m ~ o d - u h p o |
kamod-uhpok~a	 k a m o d - u h p o k ~ a |
ahpeabodo	 a h p e a b o d o |
dooh	 d o o h |
yuduam-uali	 y u d u a m - u a l i |
malip-u	 m a l i p - u |
saeda	 s a e d a |
maape	 m a a p e |
maliamaha	 m a l i a m a h a |
yuup-u	 y u u p - u |
dohawa	 d o h a w a |
yuduade	 y u d u a d e |
mehta	 m e h t a |
ihiatiya	 i h i a t i y a |
tide	 t i d e |
weem-uali	 w e e m - u a l i |
tiimipe	 t i i m i p e |
m-uahaboa	 m - u a h a b o a |
ninomaha	 n i n o m a h a |
y-ud-utatiedo	 y - u d - u t a t i e d o |
noota	 n o o t a |
yud-uyoaba	 y u d - u y o a b a |
niie	 n i i e |
saayea	 s a a y e a |
peotihiano	 p e o t i h i a n o |
nialy	 n i a l y |
toop-ule	 t o o p - u l e |
duusi	 d u u s i |
ni~a	 n i ~ a |
tul~imaha	 t u l ~ i m a h a |
m~aasa	 m ~ a a s a |
pihie	 p i h i e |
toota	 t o o t a |
nemahamaha	 n e m a h a m a h a |
d-uhtem-uht~oali	 d - u h t e m - u h t ~ o a l i |
~naano	 ~ n a a n o |
yuhk-u	 y u h k - u |
duhp-ule	 d u h p - u l e |
d-uhtem-uht~oeye	 d - u h t e m - u h t ~ o e y e |
~nanotaha	 ~ n a n o t a h a |
sig-ule	 s i g - u l e |
neemaha	 n e e m a h a |
yuud-uli	 y u u d - u l i |
kameadaye	 k a m e a d a y e |
kialikina	 k i a l i k i n a |
ihikaboa	 i h i k a b o a |
paamolimahasa	 p a a m o l i m a h a s a |
niino	 n i i n o |
saeya	 s a e y a |
yuhk-uli	 y u h k - u l i |
dohoo	 d o h o o |
yohaboaya	 y o h a b o a y a |
niinota	 n i i n o t a |
neemahmaha	 n e e m a h m a h a |
duhkali	 d u h k a l i |
d-uhte	 d - u h t e |
m-uhtoaya	 m - u h t o a y a |
niideyu	 n i i d e y u |
tig-ule	 t i g - u l e |
saedido	 s a e d i d o |
completa-u	 c o m p l e t a - u |
ihiata	 i h i a t a |
keopahka	 k e o p a h k a |
tikido	 t i k i d o |
paa	 p a a |
y~odohkolikido	 y ~ o d o h k o l i k i d o |
niig-u	 n i i g - u |
mahsia	 m a h s i a |
mahsipe	 m a h s i p e |
keopahkale	 k e o p a h k a l e |
d-uteye	 d - u t e y e |
tiikina	 t i i k i n a |
tuodohkoagati	 t u o d o h k o a g a t i |
vaaga	 v a a g a |
tee	 t e e |
alima	 a l i m a |
pootep-u	 p o o t e p - u |
ba-uga~a	 b a - u g a ~ a |
teita	 t e i t a |
neite	 n e i t e |
puhpiapa	 p u h p i a p a |
paalitadop-u	 p a a l i t a d o p - u |
tiinane	 t i i n a n e |
toop-uk-una	 t o o p - u k - u n a |
aakaga	 a a k a g a |
pin~oa	 p i n ~ o a |
w-usedohkalipe	 w - u s e d o h k a l i p e |
mahsig-uta	 m a h s i g - u t a |
aalia	 a a l i a |
ahs-ug-u	 a h s - u g - u |
abril,	 a b r i l , |
maio	 m a i o |
puek-uli	 p u e k - u l i |
ihimape	 i h i m a p e |
paanole	 p a a n o l e |
toheg-u	 t o h e g - u |
k-uma	 k - u m a |
dohkasa	 d o h k a s a |
d-uted-usa	 d - u t e d - u s a |
tikina	 t i k i n a |
seena	 s e e n a |
-uhs-ul~e	 - u h s - u l ~ e |
março,	 m a r ç o , |
abril	 a b r i l |
ihig-ul~e	 i h i g - u l ~ e |
tiede	 t i e d e |
d-utepeok~a	 d - u t e p e o k ~ a |
le	 l e |
maha	 m a h a |
puek-u	 p u e k - u |
waababemaha	 w a a b a b e m a h a |
~om~a	 ~ o m ~ a |
yolita	 y o l i t a |
ninopemaha	 n i n o p e m a h a |
~nebai	 ~ n e b a i |
nieta	 n i e t a |
...	 . . . |
seenaha	 s e e n a h a |
alik-udonaha	 a l i k - u d o n a h a |
pinono	 p i n o n o |
waimahs-uno	 w a i m a h s - u n o |
waipaa	 w a i p a a |
d-uteg-ul~etaha	 d - u t e g - u l ~ e t a h a |
ali	 a l i |
waipali	 w a i p a l i |
tiita	 t i i t a |
ihikali	 i h i k a l i |
tig-uta	 t i g - u t a |
alim~a	 a l i m ~ a |
~noodohko	 ~ n o o d o h k o |
taaye	 t a a y e |
tiikido	 t i i k i d o |
ataye	 a t a y e |
wuused-uhkali	 w u u s e d - u h k a l i |
b-uhsa	 b - u h s a |
d-uhkasaye	 d - u h k a s a y e |
bahsag-use	 b a h s a g - u s e |
tihato	 t i h a t o |
tiwita	 t i w i t a |
saaduhkasa	 s a a d u h k a s a |
obodo	 o b o d o |
d-uhkuepe	 d - u h k u e p e |
tuewe	 t u e w e |
mal~imena	 m a l ~ i m e n a |
tikinap-u	 t i k i n a p - u |
mahpoali	 m a h p o a l i |
beetole	 b e e t o l e |
pehsaa	 p e h s a a |
buusa	 b u u s a |
d-uhkasasoa	 d - u h k a s a s o a |
yeiya	 y e i y a |
tkina	 t k i n a |
tiiw-use	 t i i w - u s e |
bahsei	 b a h s e i |
atatig~a	 a t a t i g ~ a |
k-uoo	 k - u o o |
s~o	 s ~ o |
onaspedita	 o n a s p e d i t a |
~naakeb-udodo	 ~ n a a k e b - u d o d o |
kuopehsaya	 k u o p e h s a y a |
pehsaya	 p e h s a y a |
bahsaliw-u	 b a h s a l i w - u |
konono	 k o n o n o |
doalido	 d o a l i d o |
wihiakasadodo	 w i h i a k a s a d o d o |
aibodo	 a i b o d o |
bahsalikinamaha	 b a h s a l i k i n a m a h a |
kon-unono	 k o n - u n o n o |
ihiamena	 i h i a m e n a |
dohkeotusaye	 d o h k e o t u s a y e |
keop-ule	 k e o p - u l e |
mal~ipetaha	 m a l ~ i p e t a h a |
wai	 w a i |
ihide	 i h i d e |
niik~atha	 n i i k ~ a t h a |
ihiedaga	 i h i e d a g a |
bahsabusa	 b a h s a b u s a |
poali	 p o a l i |
buduye	 b u d u y e |
bohpetuam~a	 b o h p e t u a m ~ a |
~obodo	 ~ o b o d o |
ahpepekina	 a h p e p e k i n a |
buduado	 b u d u a d o |
m~ab-ud-uado	 m ~ a b - u d - u a d o |
p-uule	 p - u u l e |
peha	 p e h a |
malipe	 m a l i p e |
niik~ati	 n i i k ~ a t i |
miimi	 m i i m i |
malin~e	 m a l i n ~ e |
mahk-u	 m a h k - u |
pehkina	 p e h k i n a |
oledoa	 o l e d o a |
ihiekina	 i h i e k i n a |
pehnata	 p e h n a t a |
yesoana	 y e s o a n a |
pehda	 p e h d a |
bahsalibusa	 b a h s a l i b u s a |
daasa...	 d a a s a . . . |
om~awihia	 o m ~ a w i h i a |
dohkepeha	 d o h k e p e h a |
peheikina	 p e h e i k i n a |
yauli	 y a u l i |
ihiaga	 i h i a g a |
toopani	 t o o p a n i |
m-uhsale	 m - u h s a l e |
yaumam-utaha	 y a u m a m - u t a h a |
bahsawio	 b a h s a w i o |
d-uhkatana	 d - u h k a t a n a |
wihiatana	 w i h i a t a n a |
k-u	 k - u |
ya'ye	 y a ' y e |
tikinataha	 t i k i n a t a h a |
bahsawisa	 b a h s a w i s a |
wihat-u	 w i h a t - u |
woodomaha	 w o o d o m a h a |
seitig-u	 s e i t i g - u |
tedoo	 t e d o o |
~noo	 ~ n o o |
~nolomal~i	 ~ n o l o m a l ~ i |
kuu	 k u u |
kasedide	 k a s e d i d e |
wuhua	 w u h u a |
pook~ebuluomahaye	 p o o k ~ e b u l u o m a h a y e |
kahsedi	 k a h s e d i |
dohkepeham~a	 d o h k e p e h a m ~ a |
tchu	 t c h u |
niha	 n i h a |
sihok-udo	 s i h o k - u d o |
toh	 t o h |
wa'ali	 w a ' a l i |
pehaliba	 p e h a l i b a |
kiikahsedi	 k i i k a h s e d i |
pehakati	 p e h a k a t i |
waimahsa	 w a i m a h s a |
pedu	 p e d u |
dalienata	 d a l i e n a t a |
niati	 n i a t i |
-uh-u	 - u h - u |
peidu	 p e i d u |
daley	 d a l e y |
nia	 n i a |
~nodohkoye	 ~ n o d o h k o y e |
naino	 n a i n o |
nale	 n a l e |
ninomehe	 n i n o m e h e |
bahsedo	 b a h s e d o |
~oleta	 ~ o l e t a |
wooahali	 w o o a h a l i |
~oo	 ~ o o |
waipole	 w a i p o l e |
ihiya	 i h i y a |
tig-utaha	 t i g - u t a h a |
tehd-ua	 t e h d - u a |
alidetaha	 a l i d e t a h a |
dada~ne	 d a d a ~ n e |
mihsine	 m i h s i n e |
wahk~i~ne	 w a h k ~ i ~ n e |
abuli	 a b u l i |
w~aali	 w ~ a a l i |
niia	 n i i a |
tiide	 t i i d e |
kenoa	 k e n o a |
bahseka	 b a h s e k a |
yee	 y e e |
dehsuye	 d e h s u y e |
keobodole	 k e o b o d o l e |
ma~i	 m a ~ i |
m-unono	 m - u n o n o |
ihig-utaha	 i h i g - u t a h a |
taha	 t a h a |
keopahakataha	 k e o p a h a k a t a h a |
tikidotaha	 t i k i d o t a h a |
alikidota	 a l i k i d o t a |
mani	 m a n i |
keode	 k e o d e |
ko~a	 k o ~ a |
